DATE,M1V
1959-01-01,3.663
1959-04-01,3.719
1959-07-01,3.71
1959-10-01,3.769
1960-01-01,3.879
1960-04-01,3.876
1960-07-01,3.872
1960-10-01,3.836
1961-01-01,3.851
1961-04-01,3.897
1961-07-01,3.959
1961-10-01,4.013
1962-01-01,4.079
1962-04-01,4.095
1962-07-01,4.158
1962-10-01,4.158
1963-01-01,4.178
1963-04-01,4.194
1963-07-01,4.248
1963-10-01,4.269
1964-01-01,4.345
1964-04-01,4.372
1964-07-01,4.386
1964-10-01,4.363
1965-01-01,4.457
1965-04-01,4.508
1965-07-01,4.574
1965-10-01,4.627
1966-01-01,4.688
1966-04-01,4.692
1966-07-01,4.792
1966-10-01,4.858
1967-01-01,4.873
1967-04-01,4.834
1967-07-01,4.82
1967-10-01,4.832
1968-01-01,4.92
1968-04-01,4.97
1968-07-01,4.961
1968-10-01,4.944
1969-01-01,4.983
1969-04-01,5.022
1969-07-01,5.103
1969-10-01,5.102
1970-01-01,5.112
1970-04-01,5.152
1970-07-01,5.174
1970-10-01,5.095
1971-01-01,5.226
1971-04-01,5.212
1971-07-01,5.219
1971-10-01,5.226
1972-01-01,5.299
1972-04-01,5.365
1972-07-01,5.356
1972-10-01,5.383
1973-01-01,5.471
1973-04-01,5.55
1973-07-01,5.564
1973-10-01,5.657
1974-01-01,5.622
1974-04-01,5.714
1974-07-01,5.775
1974-10-01,5.851
1975-01-01,5.875
1975-04-01,5.915
1975-07-01,6.01
1975-10-01,6.151
1976-01-01,6.264
1976-04-01,6.266
1976-07-01,6.318
1976-10-01,6.364
1977-01-01,6.39
1977-04-01,6.479
1977-07-01,6.572
1977-10-01,6.586
1978-01-01,6.564
1978-04-01,6.78
1978-07-01,6.847
1978-10-01,6.971
1979-01-01,7.012
1979-04-01,6.997
1979-07-01,7.049
1979-10-01,7.147
1980-01-01,7.188
1980-04-01,7.249
1980-07-01,7.153
1980-10-01,7.293
1981-01-01,7.528
1981-04-01,7.428
1981-07-01,7.637
1981-10-01,7.592
1982-01-01,7.401
1982-04-01,7.452
1982-07-01,7.446
1982-10-01,7.235
1983-01-01,7.176
1983-04-01,7.171
1983-07-01,7.228
1983-10-01,7.309
1984-01-01,7.402
1984-04-01,7.462
1984-07-01,7.54
1984-10-01,7.576
1985-01-01,7.522
1985-04-01,7.457
1985-07-01,7.358
1985-10-01,7.247
1986-01-01,7.193
1986-04-01,6.98
1986-07-01,6.788
1986-10-01,6.575
1987-01-01,6.455
1987-04-01,6.457
1987-07-01,6.555
1987-10-01,6.649
1988-01-01,6.688
1988-04-01,6.717
1988-07-01,6.749
1988-10-01,6.879
1989-01-01,7.028
1989-04-01,7.233
1989-07-01,7.307
1989-10-01,7.283
1990-01-01,7.356
1990-04-01,7.391
1990-07-01,7.377
1990-10-01,7.303
1991-01-01,7.247
1991-04-01,7.212
1991-07-01,7.166
1991-10-01,7.058
1992-01-01,6.886
1992-04-01,6.814
1992-07-01,6.735
1992-10-01,6.584
1993-01-01,6.508
1993-04-01,6.406
1993-07-01,6.289
1993-10-01,6.25
1994-01-01,6.264
1994-04-01,6.339
1994-07-01,6.369
1994-10-01,6.479
1995-01-01,6.55
1995-04-01,6.614
1995-07-01,6.714
1995-10-01,6.86
1996-01-01,7.016
1996-04-01,7.18
1996-07-01,7.369
