DATE,TCU
1967-01-01,89.3902
1967-02-01,87.9750
1967-03-01,87.0835
1967-04-01,87.5089
1967-05-01,86.3566
1967-06-01,85.9603
1967-07-01,85.3833
1967-08-01,86.6339
1967-09-01,86.1122
1967-10-01,86.4325
1967-11-01,87.2856
1967-12-01,87.8417
1968-01-01,87.3848
1968-02-01,87.3505
1968-03-01,87.2771
1968-04-01,87.0597
1968-05-01,87.6913
1968-06-01,87.6699
1968-07-01,87.1950
1968-08-01,87.0996
1968-09-01,87.0921
1968-10-01,86.9294
1968-11-01,87.7166
1968-12-01,87.6578
1969-01-01,87.8613
1969-02-01,88.1061
1969-03-01,88.4789
1969-04-01,87.8387
1969-05-01,87.1954
1969-06-01,87.7352
1969-07-01,87.8868
1969-08-01,87.7786
1969-09-01,87.4510
1969-10-01,87.1707
1969-11-01,86.0482
1969-12-01,85.5192
1970-01-01,83.6586
1970-02-01,83.3422
1970-03-01,82.9743
1970-04-01,82.5037
1970-05-01,82.1520
1970-06-01,81.6333
1970-07-01,81.5815
1970-08-01,81.1858
1970-09-01,80.3792
1970-10-01,78.5307
1970-11-01,77.8174
1970-12-01,79.3628
1971-01-01,79.7501
1971-02-01,79.3958
1971-03-01,79.1084
1971-04-01,79.3512
1971-05-01,79.5523
1971-06-01,79.6846
1971-07-01,79.2535
1971-08-01,78.5958
1971-09-01,79.6734
1971-10-01,80.0694
1971-11-01,80.2090
1971-12-01,80.9333
1972-01-01,82.6639
1972-02-01,83.2993
1972-03-01,83.6895
1972-04-01,84.3131
1972-05-01,84.1119
1972-06-01,84.1181
1972-07-01,83.8220
1972-08-01,84.7529
1972-09-01,85.1650
1972-10-01,86.0135
1972-11-01,86.7659
1972-12-01,87.4686
1973-01-01,87.8281
1973-02-01,88.8164
1973-03-01,88.5532
1973-04-01,88.1243
1973-05-01,88.4030
1973-06-01,88.2029
1973-07-01,88.2221
1973-08-01,87.8012
1973-09-01,88.2072
1973-10-01,88.6195
1973-11-01,88.7326
1973-12-01,88.2092
1974-01-01,87.3603
1974-02-01,86.8532
1974-03-01,86.5946
1974-04-01,86.1020
1974-05-01,86.5764
1974-06-01,86.2087
1974-07-01,86.1702
1974-08-01,85.0813
1974-09-01,84.9171
1974-10-01,84.4837
1974-11-01,81.5472
1974-12-01,78.4766
1975-01-01,77.2606
1975-02-01,75.3723
1975-03-01,74.4335
1975-04-01,74.4561
1975-05-01,74.1297
1975-06-01,74.4823
1975-07-01,75.1300
1975-08-01,75.7493
1975-09-01,76.6023
1975-10-01,76.7949
1975-11-01,76.7613
1975-12-01,77.6515
1976-01-01,78.5352
1976-02-01,79.1583
1976-03-01,79.1609
1976-04-01,79.3847
1976-05-01,79.5472
1976-06-01,79.4537
1976-07-01,79.7129
1976-08-01,80.0788
1976-09-01,80.1586
1976-10-01,79.9457
1976-11-01,80.9791
1976-12-01,81.6559
1977-01-01,80.9038
1977-02-01,81.9747
1977-03-01,82.8042
1977-04-01,83.3995
1977-05-01,83.8236
1977-06-01,84.2390
1977-07-01,84.1200
1977-08-01,83.9765
1977-09-01,84.0778
1977-10-01,83.9767
1977-11-01,83.8911
1977-12-01,83.8023
1978-01-01,82.3473
1978-02-01,82.5737
1978-03-01,83.9168
1978-04-01,85.3482
1978-05-01,85.5208
1978-06-01,85.8308
1978-07-01,85.5323
1978-08-01,85.6465
1978-09-01,85.6125
1978-10-01,86.0371
1978-11-01,86.4614
1978-12-01,86.6562
1979-01-01,85.9566
1979-02-01,86.1651
1979-03-01,86.1935
1979-04-01,84.9421
1979-05-01,85.4801
1979-06-01,85.2706
1979-07-01,84.9248
1979-08-01,84.1753
1979-09-01,83.9806
1979-10-01,84.3728
1979-11-01,84.0579
1979-12-01,83.9436
1980-01-01,84.2311
1980-02-01,84.1083
1980-03-01,83.5935
1980-04-01,81.7958
1980-05-01,79.6380
1980-06-01,78.4608
1980-07-01,77.7482
1980-08-01,77.8447
1980-09-01,78.9834
1980-10-01,79.8159
1980-11-01,80.9704
1980-12-01,81.3163
1981-01-01,80.6229
1981-02-01,80.0944
1981-03-01,80.3057
1981-04-01,79.7704
1981-05-01,80.0226
1981-06-01,80.2399
1981-07-01,80.5506
1981-08-01,80.2571
1981-09-01,79.6687
1981-10-01,78.8660
1981-11-01,77.7627
1981-12-01,76.7466
1982-01-01,75.0122
1982-02-01,76.3833
1982-03-01,75.7186
1982-04-01,74.8888
1982-05-01,74.2587
1982-06-01,73.9501
1982-07-01,73.5908
1982-08-01,72.8353
1982-09-01,72.5682
1982-10-01,71.8027
1982-11-01,71.5184
1982-12-01,70.9657
1983-01-01,72.2448
1983-02-01,71.7700
1983-03-01,72.3463
1983-04-01,73.2328
1983-05-01,73.6723
1983-06-01,74.0991
1983-07-01,75.1751
1983-08-01,76.0440
1983-09-01,77.0993
1983-10-01,77.6543
1983-11-01,77.9349
1983-12-01,78.2537
1984-01-01,79.7126
1984-02-01,79.9814
1984-03-01,80.2384
1984-04-01,80.5838
1984-05-01,80.8718
1984-06-01,81.0034
1984-07-01,81.0623
1984-08-01,80.9851
1984-09-01,80.5773
1984-10-01,80.3528
1984-11-01,80.4271
1984-12-01,80.2683
1985-01-01,80.0283
1985-02-01,80.0705
1985-03-01,79.9720
1985-04-01,79.6139
1985-05-01,79.5339
1985-06-01,79.3029
1985-07-01,78.7087
1985-08-01,78.7942
1985-09-01,78.9180
1985-10-01,78.4912
1985-11-01,78.6182
1985-12-01,79.2651
1986-01-01,79.5636
1986-02-01,78.9134
1986-03-01,78.2664
1986-04-01,78.2696
1986-05-01,78.3421
1986-06-01,77.9558
1986-07-01,78.3535
1986-08-01,78.1419
1986-09-01,78.2726
1986-10-01,78.5086
1986-11-01,78.7174
1986-12-01,79.3476
1987-01-01,78.9277
1987-02-01,79.8385
1987-03-01,79.8055
1987-04-01,80.1758
1987-05-01,80.5155
1987-06-01,80.7902
1987-07-01,81.1772
1987-08-01,81.6378
1987-09-01,81.8095
1987-10-01,82.7829
1987-11-01,83.0749
1987-12-01,83.4335
1988-01-01,83.3283
1988-02-01,83.6774
1988-03-01,83.8133
1988-04-01,84.2599
1988-05-01,84.0591
1988-06-01,84.2661
1988-07-01,84.2395
1988-08-01,84.6276
1988-09-01,84.3040
1988-10-01,84.6230
1988-11-01,84.7603
1988-12-01,85.0642
1989-01-01,85.2080
1989-02-01,84.7168
1989-03-01,84.7889
1989-04-01,84.6158
1989-05-01,83.9786
1989-06-01,83.7983
1989-07-01,82.8088
1989-08-01,83.4265
1989-09-01,82.9458
1989-10-01,82.6489
1989-11-01,82.7278
1989-12-01,82.9946
1990-01-01,82.3733
1990-02-01,82.9404
1990-03-01,83.1505
1990-04-01,82.7796
1990-05-01,82.8617
1990-06-01,82.9777
1990-07-01,82.6936
1990-08-01,82.8569
1990-09-01,82.7583
1990-10-01,82.1312
1990-11-01,81.0047
1990-12-01,80.3427
1991-01-01,79.9936
1991-02-01,79.3375
1991-03-01,78.8116
1991-04-01,78.9476
1991-05-01,79.6602
1991-06-01,80.2290
1991-07-01,80.3605
1991-08-01,80.2919
1991-09-01,80.8617
1991-10-01,80.6759
1991-11-01,80.4548
1991-12-01,79.9620
1992-01-01,79.3991
1992-02-01,79.8149
1992-03-01,80.3214
1992-04-01,80.7713
1992-05-01,80.8582
1992-06-01,80.7276
1992-07-01,81.2728
1992-08-01,80.6532
1992-09-01,80.7402
1992-10-01,81.1307
