DATE,T10Y2Y,DTB3,T5YIFR,DTB6,RSXFS,PAYEMS,USSTHPI,DEXCAUS,CPILFESL,CPIAUCSL,FEDFUNDS,BAMLH0A0HYM2,ICSA,M1SL,M2SL,WM2NS,GS1,DGS10,GS10,DGS2,GS5,BAA,HOUST,PCEPI,A191RL1Q225SBEA,W875RX1,RECPROUSM156N,UNRATE
1980-01-31,-0.6959090909090909,11.998181818181818,,11.844090909090909,,90800.0,100.0,1.164,76.7,78.0,13.82,,414250.0,385.8,1482.7,,12.06,10.802272727272728,10.8,11.498181818181818,10.74,12.42,1341.0,39.273,1.3,4985.4,7.48,6.3
1980-02-29,-0.9804761904761905,12.823333333333334,,12.842380952380953,,90883.0,100.0,1.1559619047619047,77.5,79.0,14.13,,418000.0,390.1,1494.6,,13.92,12.385238095238094,12.41,13.365714285714287,12.6,13.57,1350.0,39.699,1.3,4965.6,40.04,6.3
1980-03-31,-2.1357142857142857,15.20095238095238,,15.027142857142858,,90994.0,100.0,1.173147619047619,78.6,80.1,17.19,,433800.0,388.4,1499.8,,15.82,12.74904761904762,12.75,14.884761904761904,13.47,14.45,1047.0,40.186,1.3,4948.3,87.68,6.3
1980-04-30,-1.0722727272727273,13.283636363636363,,12.964545454545457,,90849.0,101.64,1.1860954545454545,79.5,80.9,17.61,,529750.0,383.8,1502.2,,13.3,11.520909090909091,11.47,12.593181818181819,11.84,14.19,1051.0,40.396,-8.0,4938.4,99.66,6.9
1980-05-31,0.7490909090909091,8.53,,8.60409090909091,,90420.0,101.64,1.1734909090909091,80.1,81.7,10.98,,615800.0,384.8,1512.3,,9.39,10.166363636363636,10.18,9.417272727272728,9.95,13.17,927.0,40.71,-8.0,4917.8,99.62,7.5
1980-06-30,1.05,7.074285714285715,,7.301904761904762,,90101.0,101.64,1.1516095238095239,81.0,82.5,9.47,,607000.0,389.1,1529.2,,8.16,9.778095238095238,9.78,8.728095238095237,9.21,12.71,1196.0,40.967,-8.0,4926.1,88.28,7.6
1980-07-31,1.2191304347826086,8.045652173913044,,8.046956521739132,,89840.0,104.43,1.1519652173913044,80.8,82.6,9.03,,559250.0,394.0,1545.5,,8.65,10.237391304347826,10.25,9.018260869565216,9.53,12.65,1269.0,41.285,-0.5,4909.9,34.3,7.8
1980-08-31,0.5742857142857143,9.129999999999999,,9.412857142857144,,90099.0,104.43,1.159247619047619,81.3,83.2,9.61,,528200.0,399.2,1561.5,,10.24,11.101904761904763,11.1,10.527619047619046,10.84,13.15,1436.0,41.629,-0.5,4927.8,0.58,7.7
1980-09-30,-0.05454545454545454,10.257272727272728,,10.56,,90213.0,104.43,1.1643681818181817,82.1,83.9,10.87,,482750.0,404.8,1574.0,,11.52,11.510454545454545,11.51,11.565,11.62,13.7,1471.0,42.014,-0.5,4944.9,0.04,7.5
1980-10-31,-0.3308695652173913,11.604347826086956,,11.62086956521739,,90490.0,104.59,1.1689,83.0,84.7,12.81,,438000.0,409.0,1584.8,,12.49,11.737826086956522,11.75,12.068695652173913,11.86,14.23,1523.0,42.351,7.7,5002.7,0.02,7.5
1980-11-30,-0.8365,13.711500000000001,,13.498,,90747.0,104.59,1.186,83.9,85.6,15.85,,412600.0,410.7,1595.8,1598.525,14.15,12.6765,12.68,13.513,12.83,14.64,1510.0,42.696,7.7,5027.0,0.02,7.5
1980-12-31,-1.2204347826086956,15.459999999999999,,14.607826086956523,,90943.0,104.59,1.1965826086956521,84.9,86.4,18.9,,410000.0,408.5,1599.8,1603.1399999999999,14.88,12.825652173913044,12.84,14.046086956521739,13.25,15.14,1482.0,42.973,7.7,5048.1,0.62,7.2
1981-01-31,-0.6909090909090909,14.989090909090908,,14.063636363636363,,91033.0,105.2,1.1910181818181818,85.4,87.2,19.08,,413000.0,411.3,1606.9,1612.9,14.08,12.562272727272727,12.57,13.253181818181817,12.77,15.03,1547.0,43.386,8.1,5035.0,3.08,7.5
1981-02-28,-0.738,14.861500000000001,,14.122,,91105.0,105.2,1.198485,85.9,88.0,15.93,,428750.0,414.8,1618.7,1608.125,14.57,13.2285,13.19,13.9665,13.41,15.37,1246.0,43.825,8.1,5020.8,2.46,7.4
1981-03-31,-0.45272727272727276,13.358636363636363,,12.81090909090909,,91210.0,105.2,1.191440909090909,86.4,88.6,14.7,,407500.0,419.0,1636.6,1629.4,13.71,13.115909090909092,13.12,13.568636363636363,13.41,15.34,1306.0,44.13,8.1,5035.9,1.46,7.4
1981-04-30,-0.47045454545454546,13.69681818181818,,13.46,,91283.0,107.42,1.1909863636363636,87.0,89.1,15.72,,410250.0,427.4,1659.2,1665.5749999999998,14.32,13.684545454545455,13.68,14.155000000000001,13.99,15.56,1360.0,44.323,-2.9,5032.4,1.42,7.2
1981-05-31,-1.3719047619047617,16.32238095238095,,15.297142857142857,,91296.0,107.42,1.2009904761904762,87.8,89.7,18.52,,416400.0,424.7,1664.2,1655.15,16.2,14.086190476190476,14.1,15.458095238095238,14.63,15.95,1140.0,44.522,-2.9,5048.9,1.06,7.5
1981-06-30,-1.0336363636363637,14.734090909090908,,14.085454545454546,,91490.0,107.42,1.2040954545454545,88.6,90.5,19.1,,433000.0,425.2,1670.3,1664.5,14.86,13.472272727272726,13.47,14.50590909090909,13.95,15.8,1045.0,44.699,-2.9,5081.1,1.26,7.5
1981-07-31,-1.066521739130435,14.92608695652174,,14.712608695652174,,91601.0,108.84,1.210713043478261,89.8,91.5,19.04,,430750.0,426.9,1681.9,1685.225,15.72,14.266521739130434,14.28,15.33304347826087,14.79,16.17,1041.0,44.969,4.9,5135.0,3.2,7.2
1981-08-31,-1.3476190476190477,15.506190476190476,,15.516190476190475,,91565.0,108.84,1.2231666666666665,90.7,92.2,17.82,,450200.0,426.9,1694.3,1693.28,16.72,14.937142857142858,14.94,16.284761904761904,15.56,16.34,940.0,45.25,4.9,5160.8,45.72,7.4
1981-09-30,-1.145,14.743636363636364,,14.955454545454545,,91477.0,108.84,1.2007272727272726,91.8,93.1,15.87,,473250.0,427.0,1706.0,1706.15,16.52,15.332272727272727,15.32,16.477272727272727,15.93,16.92,911.0,45.524,4.9,5156.4,80.82,7.6
1981-10-31,-0.3981818181818182,13.533636363636363,,13.809545454545455,,91380.0,107.47,1.2026181818181818,92.1,93.4,15.08,,492800.0,428.4,1721.8,1725.45,15.38,15.129090909090907,15.15,15.52727272727273,15.41,17.11,873.0,45.73,-4.3,5139.2,91.74,7.9
1981-11-30,0.4933333333333333,10.922380952380953,,11.344761904761905,,91171.0,107.47,1.1877380952380951,92.5,93.8,13.31,,511750.0,431.3,1736.1,1738.5400000000002,12.41,13.42952380952381,13.39,12.936190476190477,13.38,16.39,837.0,45.976,-4.3,5142.7,95.16,8.3
